uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:54PKs7ZlncfruF06oEFqCs,Colombian Salsa Top 100,El Preso,Greatest Salsa Classics of Colombia - Vol. 1,2006-05-01,2,Fruko Y Sus Tesos,spotify:artist:5aAlzehdUM14I4ppq24Xob,5,-5.189,0,0.0382,0.164,0.00262,0.1,0.798,106.163,294093,4
spotify:track:02a7w96RazMWL1bQDEkwxt,Colombian Salsa Top 100,La Pantera Mambo,LA 33,2011-07-20,0,La-33,spotify:artist:1Y2yzHPbBWZouNYTOGFq7u,0,-6.296,1,0.0378,0.471,0.00131,0.0607,0.82,99.91,374841,4
spotify:track:2HPneOQ0cxaIQbICMvvGED,Colombian Salsa Top 100,La Comay,"Al Son De Los Cueros - Hits de Salsa, Cumbia & Boogaloo",2007-05-10,0,Sonora Carruseles,spotify:artist:34qU0b0yRjEzRJtknerEDS,5,-3.951,0,0.0331,0.301,0.000418,0.346,0.945,177.777,278747,4
spotify:track:0pRj2kq78NaIP9LMAujLMo,Colombian Salsa Top 100,Que Manera de Quererte,100% Global Hits Salsa,2013-10-08,4,Grupo Raison,spotify:artist:5xobK7arGuQBCn0uaMB4qn,10,-3.731,1,0.0332,0.351,2.57e-06,0.271,0.857,94.754,279173,4
spotify:track:0Gn0mUiKEgXZGCp2xw7fAv,Colombian Salsa Top 100,Amor para mi,Salsa de Colombia,1982,27,Willie Salcedo,spotify:artist:6uArL3PD3tMUVZLSGkPc0N,7,-11.684,0,0.0389,0.673,0.0541,0.158,0.915,108.263,198040,4
spotify:track:5KtkM6xxBU0MHcXN7joMMc,Colombian Salsa Top 100,Brujeria,Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2,2007-02-28,0,Los Nemus Del Pacifico,spotify:artist:58JENxULlTFsqJb5l2Nb50,3,-5.589,1,0.0367,0.434,0.000978,0.138,0.964,90.023,205120,4
spotify:track:2w2TAEThKKmWNubWbwC97S,Colombian Salsa Top 100,Tania,Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2,2007-02-28,0,Fruko Y Sus Tesos,spotify:artist:5aAlzehdUM14I4ppq24Xob,0,-5.886,1,0.044,0.0135,1.74e-05,0.259,0.902,103.247,221907,4
spotify:track:2zRmURZVT0QpJf7yWUoK6A,Colombian Salsa Top 100,Barranquillero Arrebatao,Rough Guide To Salsa Colombia,2005,0,Fruko Y Sus Tesos,spotify:artist:5aAlzehdUM14I4ppq24Xob,2,-8.837,1,0.0415,0.166,0.00266,0.0486,0.742,90.791,259560,4
spotify:track:4HSHyUoS6my1vp6bWIwA5b,Colombian Salsa Top 100,Ave Maria Lola,Discos Fuentes Sonora Carruseles Collection,2008-11-25,0,Sonora Carruseles,spotify:artist:34qU0b0yRjEzRJtknerEDS,9,-4.006,1,0.0387,0.474,0.00135,0.0687,0.735,95.15,247853,4
spotify:track:4it8bwUK3ZIaMMN1Hpbtep,Colombian Salsa Top 100,Las Caleñas Son Como Las Flores,Salsa Y Mas Para Gozar Vol I,2010-09-13,0,The Latin Brothers,spotify:artist:2AiZXMqpVlCDnz3trZbWaK,9,-6.658,0,0.126,0.292,1.55e-06,0.0903,0.941,95.418,235337,4
